Index,Feature Used,Num of Audio Features,Num of Features,Best F1 mean,Best F1 score,Best Machine Learning Model
325,"Entropy of Energy,Spectral Spread,MFCCs,Chroma Deviation",4,32,0.65,0.4(0.9),AB(All)
326,"Entropy of Energy,Spectral Spread,MFCCs,Chroma Vector",4,54,0.576612903226,0.25(0.903225806452),KNN(All)
327,"Entropy of Energy,Spectral Spread,MFCCs,Chroma Vector,Chroma Deviation",5,56,0.576612903226,0.25(0.903225806452),KNN(All)
328,"Entropy of Energy,Spectral Spread,Spectral Rolloff",3,6,0.514637904468,0.181818181818(0.847457627119),KNN(All)
329,"Entropy of Energy,Spectral Spread,Spectral Rolloff,Chroma Deviation",4,8,0.553734061931,0.222222222222(0.885245901639),KNN(All)
330,"Entropy of Energy,Spectral Spread,Spectral Rolloff,Chroma Vector",4,30,0.553734061931,0.222222222222(0.885245901639),Linear SVM(All)
331,"Entropy of Energy,Spectral Spread,Spectral Rolloff,Chroma Vector,Chroma Deviation",5,32,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
332,"Entropy of Energy,Spectral Spread,Spectral Rolloff,MFCCs",4,32,0.533333333333,0.2(0.866666666667),KNN(All)
333,"Entropy of Energy,Spectral Spread,Spectral Rolloff,MFCCs,Chroma Deviation",5,34,0.553734061931,0.222222222222(0.885245901639),KNN(All)
334,"Entropy of Energy,Spectral Spread,Spectral Rolloff,MFCCs,Chroma Vector",5,56,0.553734061931,0.222222222222(0.885245901639),KNN(All)
335,"Entropy of Energy,Spectral Spread,Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",6,58,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
336,"Entropy of Energy,Spectral Spread,Spectral Flux",3,6,0.533333333333,0.2(0.866666666667),KNN(All)
337,"Entropy of Energy,Spectral Spread,Spectral Flux,Chroma Deviation",4,8,0.576612903226,0.25(0.903225806452),KNN(All)
338,"Entropy of Energy,Spectral Spread,Spectral Flux,Chroma Vector",4,30,0.576612903226,0.25(0.903225806452),KNN(All)
339,"Entropy of Energy,Spectral Spread,Spectral Flux,Chroma Vector,Chroma Deviation",5,32,0.576612903226,0.25(0.903225806452),KNN(All)
340,"Entropy of Energy,Spectral Spread,Spectral Flux,MFCCs",4,32,0.533333333333,0.2(0.866666666667),KNN(All)
341,"Entropy of Energy,Spectral Spread,Spectral Flux,MFCCs,Chroma Deviation",5,34,0.576612903226,0.25(0.903225806452),KNN(All)
