Index,Feature Used,Num of Audio Features,Num of Features,Best F1 mean,Best F1 score,Best Machine Learning Model
1183,"Zero-crossing Rate,Spectral Centroid,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",7,30,0.681238615665,0.444444444444(0.918032786885),AB(All)
1184,"Zero-crossing Rate,Spectral Centroid,Spectral Entropy",3,3,0,0.0(0.888888888889),GP-DP(All)
1185,"Zero-crossing Rate,Spectral Centroid,Spectral Entropy,Chroma Deviation",4,4,0,0.0(0.888888888889),GP-DP(All)
1186,"Zero-crossing Rate,Spectral Centroid,Spectral Entropy,Chroma Vector",4,15,0,0.0(0.870967741935),GP-DP(All)
1187,"Zero-crossing Rate,Spectral Centroid,Spectral Entropy,Chroma Vector,Chroma Deviation",5,16,0.576612903226,0.25(0.903225806452),Linear SVM(All)
1188,"Zero-crossing Rate,Spectral Centroid,Spectral Entropy,MFCCs",4,16,0.553571428571,0.285714285714(0.821428571429),AB(All)
1189,"Zero-crossing Rate,Spectral Centroid,Spectral Entropy,MFCCs,Chroma Deviation",5,17,0.533333333333,0.2(0.866666666667),AB(All)
1190,"Zero-crossing Rate,Spectral Centroid,Spectral Entropy,MFCCs,Chroma Vector",5,28,0.681238615665,0.444444444444(0.918032786885),AB(All)
1191,"Zero-crossing Rate,Spectral Centroid,Spectral Entropy,MFCCs,Chroma Vector,Chroma Deviation",6,29,0.681238615665,0.444444444444(0.918032786885),AB(All)
1192,"Zero-crossing Rate,Spectral Centroid,Spectral Entropy,Spectral Rolloff",4,4,0.497126436782,0.166666666667(0.827586206897),AB(All)
1193,"Zero-crossing Rate,Spectral Centroid,Spectral Entropy,Spectral Rolloff,Chroma Deviation",5,5,0.497126436782,0.166666666667(0.827586206897),AB(All)
1194,"Zero-crossing Rate,Spectral Centroid,Spectral Entropy,Spectral Rolloff,Chroma Vector",5,16,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
1195,"Zero-crossing Rate,Spectral Centroid,Spectral Entropy,Spectral Rolloff,Chroma Vector,Chroma Deviation",6,17,0.62249614792,0.363636363636(0.881355932203),AB(All)
